entity_norm,label,category,count
andy roddick fourth,PERSON,sport,1
andy roddick marat,PERSON,sport,1
andy roddick rafael,PERSON,sport,1
andy roddick usa,PERSON,sport,1
andy scott,PERSON,sport,1
andy stephens,PERSON,entertainment,2
andy townsend,PERSON,sport,1
andy turner,PERSON,sport,2
andy ward,PERSON,sport,1
andy williams,PERSON,sport,1
anelka,ORG,sport,1
anelka eyes,ORG,sport,1
angel gambino,PERSON,tech,1
angel maria villar,PERSON,sport,2
angela,PERSON,entertainment,1
angela macfarlane,PERSON,entertainment,2
angelina,GPE,entertainment,1
angelina jolie clive,PERSON,entertainment,1
angelina jolie goodwill campaigner,PERSON,politics,1
angloamerican international,ORG,business,1
angola,GPE,sport,1
anil ambani,PERSON,business,3
anil deputy,PERSON,business,1
anil jumped,PERSON,business,1
anil vicechairman,PERSON,business,1
anita carter,PERSON,entertainment,1
anita dobson,PERSON,business,1
ann grant,PERSON,politics,1
ann kite,PERSON,entertainment,1
ann simpson,PERSON,tech,2
ann taylor,PERSON,politics,1
ann widdecombe,PERSON,politics,1
anna due,PERSON,entertainment,1
anna keaveney,PERSON,entertainment,1
anna kournikova,PERSON,tech,1
anna nicole,PERSON,entertainment,1
anna smashnova,PERSON,sport,2
annabelle wallace,PERSON,entertainment,1
anne alexander,PERSON,business,1
anne alone,PERSON,tech,2
anne bill thompson,PERSON,tech,2
anne childrens,PERSON,tech,2
anne reid,PERSON,entertainment,1
anne robinson,PERSON,politics,1
anne thompson hollywood,PERSON,entertainment,1
anne weyman,PERSON,politics,1
anneaymone veteran,PERSON,entertainment,1
annie walker,PERSON,business,1
anniversary week,DATE,business,1
anniversary weekend,DATE,tech,3
anniversary year,DATE,sport,1
annual,DATE,business,78
annual,DATE,entertainment,15
annual,DATE,politics,11
annual,DATE,sport,8
annual,DATE,tech,15
annually,DATE,business,5
annually,DATE,politics,1
annually,DATE,sport,2
annually year,DATE,business,1
another couple years,DATE,sport,1
another eight years,DATE,business,1
another good month,DATE,business,1
another olympic year,DATE,sport,1
another season,DATE,sport,1
another three months,DATE,sport,1
another trend year,DATE,tech,2
another two months five months,DATE,sport,1
another two years,DATE,sport,1
another year,DATE,business,2
another year,DATE,sport,1
another years,DATE,politics,1
ansheng liu,PERSON,tech,4
anthony,PERSON,business,2
anthony crescenzi,PERSON,business,1
anthony duet,PERSON,entertainment,1
anthony elgindy elgindy,PERSON,business,1
anthony foley denis,PERSON,sport,1
anthony greener,PERSON,politics,1
anthony hopkins,PERSON,business,1
anthony john charles meyer,PERSON,politics,1
anthony mcpartlin declan,PERSON,entertainment,1
anthony meyer,PERSON,politics,1
anthony minghella,PERSON,entertainment,1
anthony pratt,PERSON,sport,1
anthony sebok,PERSON,politics,1
antinazi,GPE,entertainment,1
antitremor mouse,PERSON,tech,2
antiwar party respect standing,ORG,politics,1
antoine fuqua,ORG,entertainment,1
anton winkler,PERSON,entertainment,1
antonia bernath,PERSON,entertainment,1
antonio banderas,PERSON,entertainment,1
antonio doblas,PERSON,sport,1
antonio fargas,PERSON,entertainment,1
antonio palocci,PERSON,business,1
antonio reid,PERSON,business,1
anurag kashyap,PERSON,entertainment,1
aol,ORG,business,1
aol,PERSON,tech,2
aol yahoo,PERSON,tech,4
aol yahoo realarcade,PERSON,tech,2
ape academy,ORG,business,1
apollo,ORG,entertainment,2
apollo entertainment board,ORG,entertainment,1
appear day,DATE,entertainment,1
appearance netsky bagle mydoom,PERSON,tech,1
apple,ORG,business,4
apple,ORG,entertainment,1
apple,ORG,politics,6
apple,ORG,tech,13
apple mac,ORG,tech,5
appleton,ORG,entertainment,1
appleton,PERSON,entertainment,1
april,DATE,business,28
april,DATE,entertainment,17
april,DATE,politics,8
april,DATE,sport,18
april,DATE,tech,12
april january,DATE,politics,2
april last year,DATE,business,1
april later,DATE,entertainment,1
april may nine week,DATE,sport,1
april sales week,DATE,entertainment,1
april year,DATE,tech,3
arafat peres,PERSON,politics,1
archbishop desmond tutu,PERSON,politics,1
archer,PERSON,entertainment,1
archer crew,PERSON,entertainment,1
archer rejoin,ORG,politics,1
archibald grady,PERSON,sport,1
archos,ORG,tech,2
archy kirkwood,PERSON,politics,2
arena whedon,ORG,entertainment,1
arese,ORG,sport,1
aretha,PERSON,entertainment,1
argentina,GPE,business,10
argentina,GPE,politics,2
argentina,GPE,sport,16
argentina,GPE,tech,2
argentina fifth,PERSON,sport,1
argentina fortunate,PERSON,business,1
argentina lansdowne road,PERSON,sport,1
argentina sendingoff,ORG,sport,1
argentina tommy,PERSON,sport,1
argentina venezuela,ORG,politics,1
argentina venezuela,PERSON,politics,1
argentinas leinster flyhalf,ORG,sport,1
argentine state,ORG,business,1
argonaut,ORG,business,1
argonaut headquarters,PERSON,business,2
argonaut headquarters edgware north london,PERSON,business,1
ariel sharon,PERSON,business,1
ariel sharon,PERSON,politics,2
ark international relief agency operation usa,ORG,entertainment,1
arkansas,GPE,entertainment,1
arkansas michael johnson gone quicker,PERSON,sport,1
arkansas state university,ORG,entertainment,1
arkansas state university venue,ORG,entertainment,1
army,ORG,business,1
army,ORG,politics,1
army board,ORG,politics,1
arnesen,ORG,sport,1
arnesen denies,ORG,sport,1
arnold,PERSON,entertainment,4
arnold schwarzenegger,PERSON,tech,4
arnoldo marquez,PERSON,politics,1
arnoud okken,PERSON,sport,1
around last week,DATE,entertainment,1
around million million,MONEY,business,1
around place week,DATE,sport,1
around week,DATE,business,4
around world year,DATE,business,2
around year march year,DATE,business,1
around years,DATE,entertainment,1
arrested year ago,DATE,business,1
arsene wenger,PERSON,sport,4
artell corden murray curtis neil,ORG,sport,1
arthur,PERSON,entertainment,1
arthur andersen,PERSON,business,1
arthur dent,PERSON,entertainment,1
arthur guinevere accurate glossy hollywood,ORG,entertainment,1
arthur hailey,PERSON,entertainment,2
arthur international,ORG,entertainment,1
arthur little consultancy,ORG,tech,2
article day,DATE,sport,1
article european convention,ORG,politics,1
arturo lupoli,PERSON,sport,1
asha jama,PERSON,entertainment,1
ashcroft,PERSON,politics,2
ashley bird,PERSON,entertainment,1
ashley cole,PERSON,sport,2
ashley coles,PERSON,sport,1
ashley swindon,PERSON,politics,1
ashvin kumar,PERSON,entertainment,2
asia africa,GPE,business,1
asia kyrgyz republic,GPE,politics,1
asia zurich,GPE,business,1
asian development bank,ORG,business,2
asians shahid malik,PERSON,politics,1
asians times,ORG,politics,1
askar akaev,PERSON,politics,1
askraymond james,PERSON,business,1
assault birmingham,PERSON,sport,1
association america,ORG,entertainment,2
aston birmingham,PERSON,entertainment,1
aston villa preston west,PERSON,sport,1
athletics ireland,GPE,sport,1
atinc ozkan,ORG,politics,1
atlanta university morehouse college seek,ORG,entertainment,1
atletico madrid,ORG,sport,1
atletico madrid,PERSON,sport,2
atletico madrid fernando,PERSON,sport,1
atletico sporting,ORG,sport,1
atms,ORG,business,3
att,ORG,business,2
att sbc,PERSON,business,1
attack johnson,PERSON,sport,1
atticus david slager,PERSON,business,1
atticus planning demand removal,ORG,business,1
attlee,PERSON,politics,1
audrey,PERSON,entertainment,1
audrey,PERSON,politics,1
audrey tautou,PERSON,entertainment,4
august,DATE,business,21
august,DATE,entertainment,14
august,DATE,politics,2
august,DATE,sport,25
august,DATE,tech,8
august december year earlier,DATE,business,1
august last year,DATE,business,2
august year,DATE,business,1
aus kefu aus,ORG,sport,1
auschwitz,ORG,politics,2
auschwitz belsen,PERSON,entertainment,1
austin healey,PERSON,sport,2
australia,GPE,business,19
australia,GPE,entertainment,7
australia,GPE,politics,4
australia,GPE,sport,48
australia,GPE,tech,1
austria,GPE,politics,2
austria,PERSON,entertainment,1
austria lindsay davenport amelie mauresmo,PERSON,sport,1
automaker boast,ORG,sport,1
autumn,DATE,business,2
autumn,DATE,politics,3
autumn,DATE,sport,8
avalon roxy,ORG,entertainment,1
avalon sedan,ORG,sport,1
aviator million dollar,MONEY,entertainment,8
avineri centre transport society university west england,ORG,business,2
avineri general,ORG,business,2
avonex,GPE,business,1
avonex elan,ORG,business,1
award,ORG,sport,1
award,PERSON,entertainment,1
award mobile deal,ORG,politics,1
axa,ORG,business,4
axa sun,ORG,business,1
ayatollah ali khamenei,PERSON,politics,2
ayatollah ruhollah,PERSON,politics,2
azkaban runnerup,PERSON,entertainment,1
azzam tamimi,PERSON,politics,1
baa support ahead,PERSON,politics,1
back decade,DATE,tech,2
backflip,ORG,business,1
backs africa,GPE,business,1
bafta games awards,ORG,entertainment,1
baghdad,GPE,business,1
baghdad,GPE,entertainment,8
baghdad,GPE,politics,4
bahamas,GPE,politics,1
baikal baikal,PERSON,business,1
baker lib dem,PERSON,politics,1
balco bay area laboratory cooperative company centre scandal company,ORG,sport,1
balco boss victor,ORG,sport,2
balco case,PERSON,sport,1
balco case yearold,PERSON,sport,1
ball alan,PERSON,sport,1
ball days,DATE,sport,1
ball jamie,PERSON,sport,1
ball manuel contepomi,PERSON,sport,1
ball ogara,PERSON,sport,1
ball paul jones,PERSON,sport,1
ball tait,PERSON,sport,1
baltasar garzon,PERSON,business,1
banc america capital management bacap distributors banc america,ORG,business,1
banco central hispano,ORG,business,1
bandwagon,ORG,business,2
bang blair back,PERSON,politics,1
bangkok,GPE,entertainment,2
bangkok international,ORG,entertainment,2
bangkok international film,ORG,entertainment,1
bank america,ORG,business,5
bank america capital management michigan,ORG,business,1
bank america ubs credit,ORG,business,1
bank canal bank,ORG,business,1
bank china,ORG,business,2
bank deutsche bank,ORG,business,1
bank england,ORG,business,12
bank fleetboston,ORG,business,1
bank japan,ORG,business,1
bank korea,ORG,business,1
bank ufj,ORG,business,1
bankruptcy months,DATE,business,3
banque caire,ORG,business,1
banque misr national bank egypt banque caire bank,ORG,business,1
banter presley,PERSON,entertainment,2
banton bounty,ORG,entertainment,1
barbara broccoli,PERSON,entertainment,1
barbara castle latters trade union,PERSON,politics,1
barbara follett whose,PERSON,politics,1
barbara stocking,PERSON,politics,1
barbara walters,PERSON,entertainment,1
barbara windsor,PERSON,entertainment,2
barbarians new zealand,ORG,sport,1
barbaric,ORG,politics,1
barbini robertson thomas,PERSON,sport,1
barcelona,GPE,sport,12
barcelona champions league,ORG,sport,1
barcelonas ronaldinho,ORG,sport,1
barker new,PERSON,entertainment,1
barkley,PERSON,sport,14
barkley bath cohen,PERSON,sport,1
barkley bath lewsey,PERSON,sport,1
barkley help victory,PERSON,sport,1
barkley henry paul retains,PERSON,sport,1
barkley josh lewsey,PERSON,sport,1
barkley kicking mathew,PERSON,sport,1
baron kinnock,PERSON,politics,1
baron von trapp,PERSON,entertainment,1
barrel new york,PERSON,business,1
barrel new york mercantile exchange,ORG,business,1
barrel new york rise oil,ORG,business,1
barrel opec,PERSON,business,1
barrick,PERSON,business,1
barrioneuvo,PERSON,business,1
barry brown,PERSON,entertainment,1
barry everitt,PERSON,sport,1
barry ferguson,PERSON,sport,1
barry fitzpatrick,PERSON,business,1
barry hugill,PERSON,politics,1
barry kinsey,PERSON,entertainment,1
barry knight kent,PERSON,sport,1
barry lim,PERSON,entertainment,1
barry nelson,PERSON,entertainment,1
barry sheerman,PERSON,business,1
barry weissler,PERSON,entertainment,1
bartlett,PERSON,sport,2
bartletts,GPE,sport,1
barton sibierski mcmanaman musampa,ORG,sport,1
bas estimated,PERSON,business,1
bas latest,PERSON,business,1
bastille,GPE,entertainment,1
bath flyhalfcumcentre,PERSON,sport,1
battle,PERSON,politics,1
battle dvd,PERSON,entertainment,1
battle royal,PERSON,politics,1
bay city,GPE,entertainment,1
bayer,ORG,sport,1
bayer leverkusen,ORG,sport,3
bayer leverkusen internazionale,ORG,sport,1
bayer leverkusen michels,ORG,sport,1
bbc,ORG,business,19
bbc,ORG,entertainment,120
bbc,ORG,politics,76
bbc,ORG,sport,99
bbc,ORG,tech,12
bbc allow,ORG,business,1
bbc america,ORG,entertainment,2
bbc andrew,PERSON,politics,1
bbc bbc,ORG,politics,1
bbc checking,ORG,politics,1
bbc club,ORG,sport,1
bbc comedy,ORG,entertainment,1
bbc complain,ORG,sport,2
bbc delhi,GPE,business,1
bbc documentary,ORG,politics,1
bbc documentary party,ORG,politics,1
bbc fight,ORG,entertainment,1
bbc final,ORG,business,1
bbc full,ORG,politics,1
bbc general,ORG,politics,2
bbc incredible,ORG,entertainment,1
bbc interview brown,ORG,politics,1
bbc itv,ORG,entertainment,2
bbc law,ORG,sport,1
bbc learnt club,ORG,sport,1
bbc libraries,ORG,politics,2
bbc liverpool,ORG,sport,1
bbc mean,ORG,business,1
bbc michael howard,PERSON,politics,2
bbc miniseries,ORG,entertainment,1
bbc music,ORG,entertainment,1
bbc musics chart,ORG,entertainment,2
bbc national,ORG,entertainment,1
bbc newcastle,ORG,sport,2
bbc news,ORG,business,66
bbc news,ORG,entertainment,32
bbc news,ORG,politics,49
bbc news,ORG,sport,5
bbc news,ORG,tech,50
bbc news gmt,ORG,politics,1
bbc news least,ORG,sport,1
bbc performer,ORG,entertainment,1
bbc persian,ORG,politics,2
bbc pour,ORG,entertainment,1
bbc radio,ORG,business,6
bbc radio,ORG,entertainment,5
bbc radio,ORG,politics,45
bbc radio,ORG,sport,18
bbc radio five,ORG,politics,2
bbc radio five,ORG,sport,2
bbc radio flagship chart,ORG,entertainment,1
bbc radio fours,ORG,politics,2
bbc radio listeners mark,ORG,entertainment,1
bbc radio music,ORG,entertainment,2
bbc radio questions police,ORG,politics,1
bbc radio sheffield,ORG,politics,1
bbc radio show,ORG,entertainment,1
bbc radio show attacker,ORG,politics,1
bbc radio special,ORG,entertainment,1
bbc radio varley,ORG,business,1
bbc research development,ORG,sport,1
bbc reuters,ORG,tech,2
bbc scotland,ORG,business,2
bbc scotland,ORG,politics,1
bbc sketch,ORG,entertainment,1
bbc slang,PERSON,politics,1
bbc sport,ORG,sport,12
bbc sports,ORG,sport,2
bbc television,ORG,entertainment,1
bbc time,ORG,sport,1
bbc time different board obliged,ORG,sport,1
bbc twosky onechannel school,ORG,entertainment,1
bbc working,ORG,entertainment,1
bbc world,ORG,business,4
bbc world,ORG,entertainment,11
bbc world,ORG,tech,13
bbc world service,ORG,politics,1
bbc world service,ORG,tech,2
bbc world services,ORG,entertainment,1
bbc young,ORG,sport,1
bcc,ORG,business,1
beagles scott shaftesbury,PERSON,sport,1
beaten agassi,PERSON,sport,2
beaten league,ORG,sport,1
beaten mary,PERSON,entertainment,1
beckham,ORG,sport,1
beckham rules management,ORG,sport,1
beckham virus,ORG,tech,1
bedford star,PERSON,sport,1
bee,ORG,entertainment,2
bee gees beach,PERSON,entertainment,1
begg birmingham,ORG,politics,1
begin jack straws,PERSON,politics,1
beginning week,DATE,business,1
beginning year,DATE,politics,1
beginning year,DATE,sport,1
beginning year election year,DATE,politics,1
beijing,GPE,business,6
beijing,GPE,politics,2
beijing,GPE,sport,4
beijing,GPE,tech,1
beirut,GPE,business,3
beirut,GPE,entertainment,1
belfast,GPE,entertainment,1
belfast,GPE,politics,3
belfast,GPE,sport,1
belgium,GPE,business,2
belgium,GPE,sport,5
belgrade,GPE,sport,1
belisha beacon,ORG,entertainment,1
bell,ORG,business,1
bell,ORG,entertainment,1
bell,ORG,politics,1
bell,ORG,sport,1
bell,PERSON,business,1
bell,PERSON,sport,2
bell proud,ORG,business,1
bell speech hansard society,ORG,politics,1
bellamy fined row newcastle,ORG,sport,1
belle named,ORG,entertainment,1
belle sebastian,PERSON,entertainment,2
ben,PERSON,entertainment,1
ben bortey,PERSON,sport,1
ben cohen,PERSON,sport,2
ben coppin,PERSON,entertainment,1
ben emmerson,PERSON,politics,1
ben gollings,PERSON,sport,1
ben haim,PERSON,sport,2
ben hinshelwood,PERSON,sport,1
ben hudell,PERSON,sport,1
ben kay,PERSON,sport,4
ben stiller,PERSON,entertainment,2
ben thatcher,PERSON,sport,2
ben verwaayen,PERSON,business,1
ben verwaayen,PERSON,tech,2
ben williamson,PERSON,entertainment,2
ben wood,PERSON,business,2
bench hague,GPE,politics,2
benchmark dax,PERSON,business,1
benin titan corporation,ORG,business,1
benita johnson,PERSON,sport,4
benitez,ORG,sport,1
benitez,PERSON,sport,2
benitez joy reds,PERSON,sport,1
benitez launch morientes,PERSON,sport,1
bennett,PERSON,entertainment,2
bennetts,ORG,entertainment,1
benny andersson,PERSON,entertainment,1
benoit joly broadband,ORG,entertainment,1
