entity,label,category
last two years,DATE,sport
italy,GPE,sport
peter stringer,PERSON,sport
italy,GPE,sport
ludovico nitoglia,ORG,sport
denis hickies,PERSON,sport
italy,GPE,sport
ireland,PERSON,sport
roland marigny,PERSON,sport
italy,GPE,sport
italy,GPE,sport
italy,GPE,sport
maul ogara penalty,PERSON,sport
italy,GPE,sport
martin castrogiovanni,PERSON,sport
masi nitoglia,ORG,sport
castrogiovanni,ORG,sport
bortolami persico,PERSON,sport
bergamasco parisse,ORG,sport
perugini intoppa,PERSON,sport
del fava,ORG,sport
maso griffen,PERSON,sport
robertson murphy,PERSON,sport
miller,ORG,sport
humphreys dempsey obrien,PERSON,sport
new zealand,GPE,sport
johnny oconnor,PERSON,sport
scotland,GPE,sport
saturday,DATE,sport
wednesday,DATE,sport
warren gatland,PERSON,sport
september,DATE,sport
south africa,GPE,sport
last november,DATE,sport
spain,GPE,sport
year,DATE,sport
sundays,DATE,sport
spain,GPE,sport
earlier year,DATE,sport
briton karl keska,PERSON,sport
kenenisa bekele,PERSON,sport
ethiopia,GPE,sport
ethiopia,GPE,sport
brussels,GPE,sport
sunday,DATE,sport
ethiopia,GPE,sport
david moyes,PERSON,sport
discipline striker,PERSON,sport
james beattie headbutt chelsea,PERSON,sport
defender william gallas scot,PERSON,sport
saturday,DATE,sport
james never,PERSON,sport
james issue formal,PERSON,sport
million years,DATE,sport
john terry gone,PERSON,sport
william gallas,PERSON,sport
klinsmann,ORG,sport
lehmann,ORG,sport
germany,GPE,sport
jurgen klinsmann,PERSON,sport
jens lehmann,PERSON,sport
oliver kahn,PERSON,sport
manuel alumnia highbury klinsmann,PERSON,sport
jens,PERSON,sport
germany,GPE,sport
jens,PERSON,sport
next season,DATE,sport
england launch,PERSON,sport
ref,ORG,sport
daily,DATE,sport
england,GPE,sport
andy robinson,PERSON,sport
colin high steve lander,PERSON,sport
jonathan kaplans,PERSON,sport
colin steve robinson,PERSON,sport
daily,DATE,sport
kaplan,PERSON,sport
daily,DATE,sport
jonathan kaplan,PERSON,sport
zurich,GPE,sport
london,GPE,sport
london,GPE,sport
rob hoadley,PERSON,sport
tom voyce,PERSON,sport
richard birkett,PERSON,sport
mark van gisbergen,PERSON,sport
mark mapletoft,PERSON,sport
scott staniforth,PERSON,sport
barry everitt,PERSON,sport
wilkinson tim stimpson paul grayson,PERSON,sport
warren gatland,PERSON,sport
john hart,PERSON,sport
london,GPE,sport
next weeks,DATE,sport
horak staniforth penney,ORG,sport
hatley van der,PERSON,sport
hardwick kennedy casey gustard dawson,PERSON,sport
mapletoft hodgson edwards,ORG,sport
van der,PERSON,sport
strudwick kennedy,PERSON,sport
reid murphy van gisbergen voyce,PERSON,sport
hoadley roberts,PERSON,sport
replacements priscott roberts,PERSON,sport
wada,GPE,sport
wada,GPE,sport
kenteris katerina,PERSON,sport
greek athletics federation,ORG,sport
last week,DATE,sport
wada,GPE,sport
dick pound,PERSON,sport
kenteriss,ORG,sport
bbc,ORG,sport
kenteris,PERSON,sport
tel aviv,GPE,sport
chicago,GPE,sport
august,DATE,sport
four years,DATE,sport
kenteris,PERSON,sport
roger federer save,PERSON,sport
juan carlos ferrero,PERSON,sport
dubai,GPE,sport
dubai,GPE,sport
celtic,ORG,sport
bulgaria,GPE,sport
martin oneill,PERSON,sport
block stilian petrovs callup,ORG,sport
bulgaria,GPE,sport
valenciana region spain,ORG,sport
december,DATE,sport
livingston,PERSON,sport
bulgaria,GPE,sport
wru,PERSON,sport
celtic league,ORG,sport
october,DATE,sport
april may nine week,DATE,sport
david pickering,PERSON,sport
february,DATE,sport
next month,DATE,sport
early days,DATE,sport
hong kong,GPE,sport
hong kong,GPE,sport
japan,GPE,sport
japan,GPE,sport
rugbys,GPE,sport
hong kong,GPE,sport
john molloy,PERSON,sport
jrfu,ORG,sport
koji tokumasu,PERSON,sport
japan,GPE,sport
south africa,GPE,sport
new zealand,GPE,sport
seven years,DATE,sport
japan,GPE,sport
japan,GPE,sport
japan,GPE,sport
south korea,GPE,sport
japan,GPE,sport
last year,DATE,sport
japan,GPE,sport
first professional rugby league,ORG,sport
england,GPE,sport
south africa,GPE,sport
france,GPE,sport
england,GPE,sport
andy robinson,PERSON,sport
bbc,ORG,sport
three four years,DATE,sport
wilkinson mike,PERSON,sport
nearly years ago,DATE,sport
williams,PERSON,sport
serena williams,PERSON,sport
slam,ORG,sport
wimbledon williams,PERSON,sport
williams,PERSON,sport
williams,PERSON,sport
williams,PERSON,sport
williams,PERSON,sport
williams,PERSON,sport
lacklustre davenport,PERSON,sport
two weeks,DATE,sport
agassi struggles,GPE,sport
andre agassi,PERSON,sport
early later,DATE,sport
agassi,GPE,sport
wimbledon semifinalist,PERSON,sport
tommy robredo federer admitted,PERSON,sport
hrbaty hrbaty,PERSON,sport
kevin kim,PERSON,sport
france,GPE,sport
thomas castaignede,PERSON,sport
france,GPE,sport
weekend,DATE,sport
bbc sport,ORG,sport
new zealand,GPE,sport
scotland miracle england,ORG,sport
south africa,GPE,sport
australia,GPE,sport
november,DATE,sport
france,GPE,sport
new zealand,GPE,sport
scotland,GPE,sport
charlie hodgson,PERSON,sport
barkley help victory,PERSON,sport
england twickenham castaignede,PERSON,sport
scotland england,ORG,sport
france,GPE,sport
france,GPE,sport
ireland,PERSON,sport
ireland,GPE,sport
weekend,DATE,sport
yann delaigue,ORG,sport
frederic michalak,PERSON,sport
paris,GPE,sport
last weekend,DATE,sport
tim henman,PERSON,sport
next weeks,DATE,sport
greg rusedski,PERSON,sport
two quarter,DATE,sport
andy roddick,PERSON,sport
swede jonas bjorkman,ORG,sport
veteran conchita martinez,PERSON,sport
last year,DATE,sport
last eight,DATE,sport
paris,GPE,sport
andre agassi,PERSON,sport
last years,DATE,sport
kooyong,PERSON,sport
andy roddick,PERSON,sport
georgia,GPE,sport
mark edmondson yearold,PERSON,sport
last year,DATE,sport
tommy haas,PERSON,sport
venus williams,PERSON,sport
anastasia,GPE,sport
myskina,GPE,sport
thursday,DATE,sport
williams,PERSON,sport
two years ago,DATE,sport
greece serena williams fourth,PERSON,sport
slam,ORG,sport
runnerup serena,PERSON,sport
camille,PERSON,sport
maria sharapova,PERSON,sport
last eight,DATE,sport
switzerland,GPE,sport
andy roddick,PERSON,sport
hewitt australia marat,ORG,sport
russia,GPE,sport
carlos moya,PERSON,sport
spain,GPE,sport
guillermo,GPE,sport
coria,GPE,sport
argentina,GPE,sport
tim henman,PERSON,sport
britain,GPE,sport
agassi david nalbandian,PERSON,sport
argentina,GPE,sport
argentina,GPE,sport
johansson,PERSON,sport
guillermo,GPE,sport
argentina tommy,PERSON,sport
robredo spain sebastien grosjean,ORG,sport
france,GPE,sport
mikhail youzhny,PERSON,sport
russia,GPE,sport
tommy haas germany,PERSON,sport
massu chile vincent,PERSON,sport
spadea dominik hrbaty slovakia,ORG,sport
kiefer germany,GPE,sport
croatia fernando gonzalez chile,PERSON,sport
spain juan ignacio chela argentina,ORG,sport
russia,GPE,sport
thailand,GPE,sport
croatia taylor,PERSON,sport
thomas johansson,PERSON,sport
juan carlos ferrero,PERSON,sport
spain,GPE,sport
austria lindsay davenport amelie mauresmo,PERSON,sport
france,GPE,sport
anastasia,GPE,sport
myskina,GPE,sport
russia,GPE,sport
maria,GPE,sport
russia,GPE,sport
kuznetsova,GPE,sport
russia,GPE,sport
russia,GPE,sport
williams venus williams,PERSON,sport
vera,ORG,sport
russia,GPE,sport
australia,GPE,sport
nadia petrova,ORG,sport
russia,GPE,sport
patty,GPE,sport
switzerland,GPE,sport
karolina,GPE,sport
sprem croatia francesca,ORG,sport
italy,GPE,sport
farina,GPE,sport
elia,GPE,sport
italy,GPE,sport
japan,GPE,sport
fabiola zuluaga,ORG,sport
colombia,GPE,sport
russia,GPE,sport
france,GPE,sport
france,GPE,sport
bulgaria,GPE,sport
jelena jankovic,PERSON,sport
serbia,GPE,sport
mary pierce,ORG,sport
france,GPE,sport
lisa raymond daniela hantuchova,PERSON,sport
slovakia,ORG,sport
anna smashnova,PERSON,sport
israel,GPE,sport
japan,GPE,sport
gisela,GPE,sport
dulko argentina,ORG,sport
pennetta,GPE,sport
italy,GPE,sport
jelena kostanic,ORG,sport
croatia iveta,PERSON,sport
london,GPE,sport
runnerup susan chepkemei competition,PERSON,sport
end year,DATE,sport
kenya,GPE,sport
isaiah kiplagat,PERSON,sport
paula radcliffe,PERSON,sport
london,GPE,sport
new york,GPE,sport
last year,DATE,sport
years,DATE,sport
london,GPE,sport
april,DATE,sport
kiplagat,ORG,sport
early february,DATE,sport
radcliffe,PERSON,sport
paula radcliffe called,PERSON,sport
sunday,DATE,sport
third many months,DATE,sport
andy roddick marat,PERSON,sport
bbc,ORG,sport
decade,DATE,sport
houston,GPE,sport
sania mirzas,ORG,sport
sania,GPE,sport
serena williams yearold,PERSON,sport
mirza,PERSON,sport
williams,PERSON,sport
williams,PERSON,sport
mirza sail,PERSON,sport
match grand slam,ORG,sport
vaidyanathan vaidyanathan,PERSON,sport
williams,PERSON,sport
williams,PERSON,sport
mirza,PERSON,sport
wimbledon doubles,PERSON,sport
mandula,GPE,sport
wednesday,DATE,sport
india,GPE,sport
mirza williams mirza,PERSON,sport
two years ago,DATE,sport
munster cup,PERSON,sport
spain,GPE,sport
april,DATE,sport
san sebastian,ORG,sport
aguilera biarritz capacity,PERSON,sport
biarritz,ORG,sport
martin hope,ORG,sport
spain,GPE,sport
midfielder plays,PERSON,sport
uefa cup,ORG,sport
frank arnesen,PERSON,sport
dubai,GPE,sport
last eight,DATE,sport
dubai,GPE,sport
likhotseva russia,ORG,sport
serena williams,PERSON,sport
williams,PERSON,sport
davenport anastasia myskina,PERSON,sport
chinas jie zheng,PERSON,sport
myskina,GPE,sport
spain,GPE,sport
france,GPE,sport
myskina,GPE,sport
patty,GPE,sport
switzerland,GPE,sport
sania mirza,PERSON,sport
india jelena jankovic serbia,ORG,sport
tuesday,DATE,sport
martinez davenport,ORG,sport
williams,PERSON,sport
williams,PERSON,sport
mirza,PERSON,sport
sania mirza,ORG,sport
alyona,GPE,sport
bondarenko ukraine mirza,ORG,sport
coming days,DATE,sport
january,DATE,sport
year ago,DATE,sport
kenteris katerina,PERSON,sport
kenteris,PERSON,sport
tzekos kenteris,PERSON,sport
chicago,GPE,sport
tel aviv,GPE,sport
august,DATE,sport
four days,DATE,sport
wednesdays,DATE,sport
greek federation segas,ORG,sport
greek federation court arbitration sport iaaf,ORG,sport
philippe saintandre,PERSON,sport
rugbys,GPE,sport
friday,DATE,sport
bbc,ORG,sport
zurich,GPE,sport
jason robinson flyhalf,PERSON,sport
charlie hodgson,PERSON,sport
week,DATE,sport
france,GPE,sport
white scotland,ORG,sport
thursday,DATE,sport
bristol,ORG,sport
nigel melville,PERSON,sport
nigel want,PERSON,sport
well week,DATE,sport
january,DATE,sport
walter smith,PERSON,sport
scotland,GPE,sport
sounesss,ORG,sport
monday,DATE,sport
bbc,ORG,sport
november,DATE,sport
bill knowledge,PERSON,sport
alex ferguson,PERSON,sport
tommy burns,PERSON,sport
smith,ORG,sport
scotland,GPE,sport
bbc,ORG,sport
knox,PERSON,sport
scotland,GPE,sport
craig brown brown,PERSON,sport
sunday,DATE,sport
gordon strachan,PERSON,sport
gary mcallister vogts,PERSON,sport
tommy burns,PERSON,sport
martin,ORG,sport
brian hassell,PERSON,sport
manchester city,GPE,sport
bbc,ORG,sport
summer,DATE,sport
juninho bought new home,ORG,sport
brazil juninhos,GPE,sport
britain,GPE,sport
manchester city,GPE,sport
kevin keegans,PERSON,sport
daily,DATE,sport
martin,ORG,sport
alex mcleish,PERSON,sport
uefa cup exit,ORG,sport
wednesday,DATE,sport
bbc radio,ORG,sport
sarah,PERSON,sport
twice week,DATE,sport
sarah knowing,PERSON,sport
sarah confidence,PERSON,sport
saturday,DATE,sport
allan scott,PERSON,sport
madrid,GPE,sport
great weekend,DATE,sport
kelly carolina kluft,ORG,sport
jason gardener,PERSON,sport
britain,GPE,sport
britain,GPE,sport
stefan koubek,PERSON,sport
three months,DATE,sport
years,DATE,sport
davis cup,PERSON,sport
september,DATE,sport
threemonth,DATE,sport
davis cup australia,PERSON,sport
san jose,GPE,sport
california,GPE,sport
six years,DATE,sport
hyungtaik lee defeated,PERSON,sport
janmichael gambill,PERSON,sport
kevin kim,PERSON,sport
frank dancevic,PERSON,sport
jeff morrison denmarks kenneth carlsen,PERSON,sport
georgia,GPE,sport
